model_name	ModelCard	Identifier	Context Length
Meta: Llama 4 Maverick (free)	https://openrouter.ai/meta-llama/llama-4-maverick:free	meta-llama/llama-4-maverick:free	128,000
Meta: Llama 4 Scout (free)	https://openrouter.ai/meta-llama/llama-4-scout:free	meta-llama/llama-4-scout:free	128,000
Meta: Llama 3.3 8B Instruct (free)	https://openrouter.ai/meta-llama/llama-3.3-8b-instruct:free	meta-llama/llama-3.3-8b-instruct:free	128,000
Google: Gemma 3 27B (free)	https://openrouter.ai/google/gemma-3-27b-it:free	google/gemma-3-27b-it:free	96,000
Agentica: Deepcoder 14B Preview (free)	https://openrouter.ai/agentica-org/deepcoder-14b-preview:free	agentica-org/deepcoder-14b-preview:free	96,000
Meta: Llama 3.3 70B Instruct (free)	https://openrouter.ai/meta-llama/llama-3.3-70b-instruct:free	meta-llama/llama-3.3-70b-instruct:free	65,536
Qwen: Qwen3 14B (free)	https://openrouter.ai/qwen/qwen3-14b:free	qwen/qwen3-14b:free	40,960
Qwen: Qwen3 30B A3B (free)	https://openrouter.ai/qwen/qwen3-30b-a3b:free	qwen/qwen3-30b-a3b:free	40,960
Qwen: Qwen3 4B (free)	https://openrouter.ai/qwen/qwen3-4b:free	qwen/qwen3-4b:free	40,960
Qwen: Qwen3 8B (free)	https://openrouter.ai/qwen/qwen3-8b:free	qwen/qwen3-8b:free	40,960
Venice: Uncensored (free)	https://openrouter.ai/cognitivecomputations/dolphin-mistral-24b-venice-edition:free	cognitivecomputations/dolphin-mistral-24b-venice-edition:free	32,768
Mistral: Mistral 7B Instruct (free)	https://openrouter.ai/mistralai/mistral-7b-instruct:free	mistralai/mistral-7b-instruct:free	32,768
Qwen2.5 Coder 32B Instruct (free)	https://openrouter.ai/qwen/qwen-2.5-coder-32b-instruct:free	qwen/qwen-2.5-coder-32b-instruct:free	32,768
Qwen2.5 72B Instruct (free)	https://openrouter.ai/qwen/qwen-2.5-72b-instruct:free	qwen/qwen-2.5-72b-instruct:free	32,768
Shisa AI: Shisa V2 Llama 3.3 70B  (free)	https://openrouter.ai/shisa-ai/shisa-v2-llama3.3-70b:free	shisa-ai/shisa-v2-llama3.3-70b:free	32,768
Mistral: Devstral Small 2505 (free)	https://openrouter.ai/mistralai/devstral-small-2505:free	mistralai/devstral-small-2505:free	32,768
Dolphin3.0 Mistral 24B (free)	https://openrouter.ai/cognitivecomputations/dolphin3.0-mistral-24b:free	cognitivecomputations/dolphin3.0-mistral-24b:free	32,768
MoonshotAI: Kimi K2 0711 (free)	https://openrouter.ai/moonshotai/kimi-k2:free	moonshotai/kimi-k2:free	32,768
Mistral: Mistral Small 3 (free)	https://openrouter.ai/mistralai/mistral-small-24b-instruct-2501:free	mistralai/mistral-small-24b-instruct-2501:free	32,768
Tencent: Hunyuan A13B Instruct (free)	https://openrouter.ai/tencent/hunyuan-a13b-instruct:free	tencent/hunyuan-a13b-instruct:free	32,768
Google: Gemma 3 12B (free)	https://openrouter.ai/google/gemma-3-12b-it:free	google/gemma-3-12b-it:free	32,768
Dolphin3.0 R1 Mistral 24B (free)	https://openrouter.ai/cognitivecomputations/dolphin3.0-r1-mistral-24b:free	cognitivecomputations/dolphin3.0-r1-mistral-24b:free	32,768
ArliAI: QwQ 32B RpR v1 (free)	https://openrouter.ai/arliai/qwq-32b-arliai-rpr-v1:free	arliai/qwq-32b-arliai-rpr-v1:free	32,768
Google: Gemma 3 4B (free)	https://openrouter.ai/google/gemma-3-4b-it:free	google/gemma-3-4b-it:free	32,768
DeepSeek: R1 Distill Llama 70B (free)	https://openrouter.ai/deepseek/deepseek-r1-distill-llama-70b:free	deepseek/deepseek-r1-distill-llama-70b:free	8,192
Qwen: Qwen2.5 VL 32B Instruct (free)	https://openrouter.ai/qwen/qwen2.5-vl-32b-instruct:free	qwen/qwen2.5-vl-32b-instruct:free	8,192
Google: Gemma 2 9B (free)	https://openrouter.ai/google/gemma-2-9b-it:free	google/gemma-2-9b-it:free	8,192
Google: Gemma 3n 2B (free)	https://openrouter.ai/google/gemma-3n-e2b-it:free	google/gemma-3n-e2b-it:free	8,192
Google: Gemma 3n 4B (free)	https://openrouter.ai/google/gemma-3n-e4b-it:free	google/gemma-3n-e4b-it:free	8,192
